t,ball,x_mm,y_mm,z_mm,v_mm_s,mode
0.73000,1,1008.577,0.000,28.575,1839.1,Sliding
0.73500,0,705.098,0.000,28.575,706.2,Sliding
0.73500,1,999.406,0.000,28.575,1829.3,Sliding
0.74000,0,708.653,0.000,28.575,716.0,Sliding
0.74000,1,990.284,0.000,28.575,1819.5,Sliding
0.74500,0,712.258,0.000,28.575,725.8,Sliding
0.74500,1,981.211,0.000,28.575,1809.6,Sliding
0.75000,0,715.912,0.000,28.575,735.6,Sliding
0.75000,1,972.188,0.000,28.575,1799.8,Sliding
0.75500,0,719.614,0.000,28.575,745.4,Sliding
0.75500,1,963.213,0.000,28.575,1790.0,Sliding
0.76000,0,723.366,0.000,28.575,755.2,Sliding
0.76000,1,954.287,0.000,28.575,1780.2,Sliding
0.76500,0,727.166,0.000,28.575,765.0,Sliding
0.76500,1,945.411,0.000,28.575,1770.4,Sliding
0.77000,0,731.016,0.000,28.575,774.8,Sliding
0.77000,1,936.583,0.000,28.575,1760.6,Sliding
0.77500,0,734.915,0.000,28.575,784.7,Sliding
0.77500,1,927.805,0.000,28.575,1750.8,Sliding
0.78000,0,738.863,0.000,28.575,794.5,Sliding
0.78000,1,919.075,0.000,28.575,1741.0,Sliding
0.78500,0,742.860,0.000,28.575,804.3,Sliding
0.78500,1,910.395,0.000,28.575,1731.2,Sliding
0.79000,0,746.905,0.000,28.575,814.1,Sliding
0.79000,1,901.763,0.000,28.575,1721.4,Sliding
0.79500,0,751.000,0.000,28.575,823.9,Sliding
0.79500,1,893.181,0.000,28.575,1711.6,Sliding
0.80000,0,755.144,0.000,28.575,833.7,Sliding
0.80000,1,884.647,0.000,28.575,1701.8,Sliding
0.80500,0,759.337,0.000,28.575,843.5,Sliding
0.80500,1,876.163,0.000,28.575,1692.0,Sliding
0.81000,0,763.579,0.000,28.575,853.3,Sliding
0.81000,1,867.728,0.000,28.575,1682.2,Sliding
0.81500,0,767.870,0.000,28.575,863.1,Sliding
0.81500,1,859.341,0.000,28.575,1672.4,Sliding
0.82000,0,772.210,0.000,28.575,872.9,Sliding
0.82000,1,851.004,0.000,28.575,1662.5,Sliding
0.82500,0,776.599,0.000,28.575,882.7,Sliding
0.82500,1,842.716,0.000,28.575,1652.7,Sliding
0.83000,0,777.417,0.000,28.722,1585.2,Airborne
0.83000,1,838.092,0.000,28.659,827.8,Airborne
0.83500,0,769.505,0.000,29.068,1583.0,Airborne
0.83500,1,842.224,0.000,28.789,826.3,Airborne
0.84000,0,761.593,0.000,29.168,1582.4,Airborne
0.84000,1,846.355,0.000,28.673,827.6,Airborne
0.84500,0,753.681,0.000,29.023,1583.3,Airborne
0.84500,1,850.486,0.000,28.650,826.3,Airborne
0.85000,0,745.769,0.000,28.633,1585.7,Airborne
0.85000,1,854.618,0.000,28.582,826.5,Airborne
0.85500,0,737.857,0.000,28.766,1582.6,Airborne
0.85500,1,858.749,0.000,28.581,826.3,Airborne
0.86000,0,729.945,0.000,28.749,1582.7,Airborne
0.86000,1,862.881,0.000,28.575,826.3,Airborne
0.86500,0,722.033,0.000,28.616,1582.6,Airborne
0.86500,1,867.000,0.000,28.575,819.5,Sliding
0.87000,0,714.120,0.000,28.626,1582.6,Airborne
0.87000,1,871.073,0.000,28.575,809.7,Sliding
0.87500,0,706.208,0.000,28.598,1582.4,Airborne
0.87500,1,875.097,0.000,28.575,799.9,Sliding
0.88000,0,698.296,0.000,28.578,1582.4,Airborne
0.88000,1,879.072,0.000,28.575,790.1,Sliding
0.88500,0,690.386,0.000,28.575,1579.6,Sliding
0.88500,1,882.998,0.000,28.575,780.3,Sliding
0.89000,0,682.513,0.000,28.575,1569.8,Sliding
0.89000,1,886.875,0.000,28.575,770.5,Sliding
0.89500,0,674.688,0.000,28.575,1560.0,Sliding
0.89500,1,890.703,0.000,28.575,760.7,Sliding
0.90000,0,666.913,0.000,28.575,1550.2,Sliding
0.90000,1,894.482,0.000,28.575,750.9,Sliding
0.90500,0,659.186,0.000,28.575,1540.4,Sliding
0.90500,1,898.212,0.000,28.575,741.1,Sliding
0.91000,0,651.509,0.000,28.575,1530.6,Sliding
0.91000,1,901.892,0.000,28.575,731.2,Sliding
0.91500,0,643.881,0.000,28.575,1520.8,Sliding
0.91500,1,905.524,0.000,28.575,721.4,Sliding
0.92000,0,636.301,0.000,28.575,1511.0,Sliding
0.92000,1,909.107,0.000,28.575,711.6,Sliding
0.92500,0,628.771,0.000,28.575,1501.2,Sliding
0.92500,1,912.640,0.000,28.575,701.8,Sliding
0.93000,0,621.290,0.000,28.575,1491.3,Sliding
0.93000,1,916.125,0.000,28.575,692.0,Sliding
0.93500,0,613.857,0.000,28.575,1481.5,Sliding
0.93500,1,919.561,0.000,28.575,682.2,Sliding
0.94000,0,606.474,0.000,28.575,1471.7,Sliding
0.94000,1,922.947,0.000,28.575,672.4,Sliding
0.94500,0,599.140,0.000,28.575,1461.9,Sliding
0.94500,1,926.285,0.000,28.575,662.6,Sliding
0.95000,0,591.855,0.000,28.575,1452.1,Sliding
0.95000,1,929.573,0.000,28.575,652.8,Sliding
0.95500,0,584.619,0.000,28.575,1442.3,Sliding
0.95500,1,932.813,0.000,28.575,643.0,Sliding
0.96000,0,577.432,0.000,28.575,1432.5,Sliding
0.96000,1,936.003,0.000,28.575,633.2,Sliding
0.96500,0,570.294,0.000,28.575,1422.7,Sliding
0.96500,1,939.145,0.000,28.575,623.4,Sliding
0.97000,0,563.205,0.000,28.575,1412.9,Sliding
0.97000,1,942.237,0.000,28.575,613.6,Sliding
0.97500,0,556.165,0.000,28.575,1403.1,Sliding
0.97500,1,945.280,0.000,28.575,603.8,Sliding
0.98000,0,549.174,0.000,28.575,1393.3,Sliding
0.98000,1,948.274,0.000,28.575,594.0,Sliding
0.98500,0,542.232,0.000,28.575,1383.5,Sliding
0.98500,1,951.220,0.000,28.575,584.1,Sliding
0.99000,0,535.339,0.000,28.575,1373.7,Sliding
0.99000,1,954.116,0.000,28.575,574.3,Sliding
0.99500,0,528.495,0.000,28.575,1363.9,Sliding
0.99500,1,956.963,0.000,28.575,564.5,Sliding
1.00000,0,521.701,0.000,28.575,1354.1,Sliding
1.00000,1,959.761,0.000,28.575,554.7,Sliding
1.00500,0,514.955,0.000,28.575,1344.2,Sliding
1.00500,1,962.510,0.000,28.575,544.9,Sliding
1.01000,0,508.258,0.000,28.575,1334.4,Sliding
1.01000,1,965.211,0.000,28.575,535.1,Sliding
1.01500,0,501.610,0.000,28.575,1324.6,Sliding
1.01500,1,967.862,0.000,28.575,525.3,Sliding
1.02000,0,495.012,0.000,28.575,1314.8,Sliding
1.02000,1,970.464,0.000,28.575,515.5,Sliding
1.02500,0,488.462,0.000,28.575,1305.0,Sliding
1.02500,1,973.017,0.000,28.575,505.7,Sliding
1.03000,0,481.962,0.000,28.575,1295.2,Sliding
1.03000,1,975.521,0.000,28.575,495.9,Sliding
1.03500,0,475.510,0.000,28.575,1285.4,Sliding
1.03500,1,977.976,0.000,28.575,486.1,Sliding
1.04000,0,469.108,0.000,28.575,1275.6,Sliding
1.04000,1,980.381,0.000,28.575,476.3,Sliding
1.04500,0,462.754,0.000,28.575,1265.8,Sliding
1.04500,1,982.738,0.000,28.575,466.5,Sliding
1.05000,0,456.450,0.000,28.575,1256.0,Sliding
1.05000,1,985.050,0.000,28.575,460.5,Rolling
1.05500,0,450.194,0.000,28.575,1246.2,Sliding
1.05500,1,987.352,0.000,28.575,460.0,Rolling
1.06000,0,443.988,0.000,28.575,1236.4,Sliding
1.06000,1,989.650,0.000,28.575,459.5,Rolling
1.06500,0,437.830,0.000,28.575,1226.6,Sliding
1.06500,1,991.947,0.000,28.575,459.0,Rolling
1.07000,0,431.722,0.000,28.575,1216.8,Sliding
1.07000,1,994.241,0.000,28.575,458.6,Rolling
1.07500,0,425.663,0.000,28.575,1207.0,Sliding
